filename;type;included;excluded
.gitkeep;unreadable file;__;X
05_56.pdf;pdf;X;__
1-s2.0-S1566253521002414-main.pdf;pdf;X;__
1-s2.0-S2214317316301287-main.pdf;pdf;X;__
1480083.1480099.pdf;pdf;X;__
15_1_581.pdf;pdf;X;__
1869750.pdf;pdf;X;__
2006.11371.pdf;pdf;X;__
2013 FCR Chuan Fertilizer recommendation wheat China.pdf;pdf;X;__
2102.07750.pdf;pdf;X;__
2103.07950.pdf;pdf;X;__
2107.00079.pdf;pdf;X;__
2112.11925.pdf;pdf;X;__
2201.00162.pdf;pdf;X;__
2201.04233.pdf;pdf;X;__
2201.04876.pdf;pdf;X;__
2202.03541.pdf;pdf;X;__
2202.05505.pdf;pdf;X;__
2202.10169.pdf;pdf;X;__
2204.13291.pdf;pdf;X;__
2205.02302.pdf;pdf;X;__
2205.14664.pdf;pdf;X;__
2206.03809.pdf;pdf;X;__
2209.03499.pdf;pdf;X;__
2209.04963.pdf;pdf;X;__
2209.07282.pdf;pdf;X;__
2209.09125.pdf;pdf;X;__
23642.pdf;pdf;X;__
2826-Article Text-4116-2-10-20220219.pdf;pdf;X;__
3402942.3402953.pdf;pdf;X;__
ajassp.2021.152.164.pdf;pdf;X;__
applsci-11-08861-v2.pdf;pdf;X;__
A_canopy_approach_to_nitrogen_fertilizer20160131-3248-ehh8b2-with-cover-page-v2.pdf;pdf;X;__
Best Practice_ 5 Schritte zur Minimum Viable Enterprise Architecture - cio.de.pdf;pdf;X;__
C1-4.pdf;pdf;X;__
cidr2021_paper26.pdf;pdf;X;__
CSE 21-135 Nazir.pdf;pdf;X;__
elb-12-11-05.pdf;pdf;X;__
Francesco_Maffezzoli_Thesis.pdf;pdf;X;__
Gusenbauern and Haddaway_2019_Which academic search systems are suitable.pdf;pdf;X;__
hi.pdf;pdf;X;__
IC2E_Edge_MLOps.pdf;pdf;X;__
machine-learning-in-production-from-experimented-ml-model-to-system (1).pdf;pdf;X;__
Martin-Martin et al_2018_Google scholar web of science.pdf;pdf;X;__
master_Stening_Joel_2022.pdf;pdf;X;__
MScthesis_Yizhen_Zhao.pdf;pdf;X;__
no.ntnu_inspera_76427839_35170985.pdf;pdf;X;__
Poster_Summer_School_20225.pdf;pdf;X;__
screenshot.pdf;pdf;X;__
sensors-22-04425-v2.pdf;pdf;X;__
Snyder_2019_Literature review as a research methodology_an overview and guidelines.pdf;pdf;X;__
SS08-02-008.pdf;pdf;X;__
tesi_enrico_salvucci.pdf;pdf;X;__
The%20AI%20Architecture%20of%20Versu.pdf;pdf;X;__
White_Paper_BWL_DL_Leyer_Vol3_Nr6_DE.pdf;pdf;X;__
WS5Paper10.pdf;pdf;X;__
XuRunyu_Summer2020.pdf;pdf;X;__
